id,nomeId,status,coletaId,entregaId,doadorId,assistidoId,organizationId
1,1,AGUARDA_COLETA,1,,1,,org-1
2,2,AGUARDA_COLETA,1,,1,,org-1
3,3,AGUARDA_COLETA,1,,1,,org-1
4,5,ENTREGUE,2,1,2,1,org-1
5,6,ENTREGUE,2,1,2,1,org-1
6,8,ENTREGUE,2,1,2,1,org-1
7,10,ENTREGUE,3,2,3,2,org-1
8,12,ENTREGUE,3,2,3,2,org-1
9,15,ENTREGUE,4,3,4,3,org-1
10,17,ENTREGUE,4,3,4,3,org-1
11,20,ENTREGUE,5,4,5,4,org-1
12,22,ENTREGUE,5,4,5,4,org-1
13,25,ENTREGUE,6,5,1,5,org-1
14,28,ENTREGUE,6,5,1,5,org-1
15,30,ENTREGUE,7,6,2,6,org-1
16,33,ENTREGUE,7,6,2,6,org-1
17,35,ENTREGUE,8,7,3,7,org-1
18,38,ENTREGUE,8,7,3,7,org-1
19,40,ENTREGUE,9,8,4,8,org-1
20,43,ENTREGUE,9,8,4,8,org-1
21,50,AGUARDA_COLETA,10,,5,,org-1
22,53,AGUARDA_COLETA,10,,5,,org-1
23,55,AGUARDA_COLETA,11,,1,,org-1
24,58,AGUARDA_COLETA,11,,1,,org-1
25,60,AGUARDA_COLETA,12,,2,,org-1
26,63,AGUARDA_COLETA,12,,2,,org-1
27,65,AGUARDA_COLETA,13,,3,,org-1
28,68,AGUARDA_COLETA,13,,3,,org-1
29,70,AGUARDA_COLETA,14,,4,,org-1
30,73,AGUARDA_COLETA,14,,4,,org-1
31,76,AGUARDA_COLETA,15,,5,,org-1
32,79,AGUARDA_COLETA,15,,5,,org-1
33,82,AGUARDA_COLETA,16,,1,,org-1
34,85,AGUARDA_COLETA,16,,1,,org-1
35,87,AGUARDA_COLETA,17,,2,,org-1
36,90,AGUARDA_COLETA,17,,2,,org-1
37,93,AGUARDA_COLETA,18,,3,,org-1
38,96,AGUARDA_COLETA,18,,3,,org-1
39,99,AGUARDA_COLETA,19,,4,,org-1
40,102,AGUARDA_COLETA,19,,4,,org-1
41,105,AGUARDA_COLETA,20,,5,,org-1
42,108,AGUARDA_COLETA,20,,5,,org-1
43,111,AGUARDA_COLETA,21,,1,,org-1
44,114,AGUARDA_COLETA,21,,1,,org-1
